"","Assay Target","Target UniProt","Bioinfomatic annotated gene","Ensembl gene ID"
"429","DPY30","Q9C005","MEMO1","ENSG00000162959"
"430","DRAXIN","Q8NBI3","DRAXIN","ENSG00000162490"
"431","DRG2","P55039","ARHGEF3","ENSG00000163947"
"432","DSC2","Q02487","NPHS2","ENSG00000116218"
"433","DSG2","Q14126","NPHS2","ENSG00000116218"
"434","DSG3","P32926",NA,NA
"435","DSG4","Q86SJ6",NA,NA
"436","DTX3","Q8N9I9","CAPN2","ENSG00000162909"
"437","DUSP3","P51452","JMJD1C","ENSG00000171988"
"438","EBAG9","O00559","ARHGEF3","ENSG00000163947"
"439","EBI3_IL27","Q14213,Q8NEV9","CELSR2","ENSG00000143126"
"440","EBI3_IL27","Q8NEV9","IL27","ENSG00000197272"
"441","EBI3_IL27","Q14213","EBI3","ENSG00000105246"
"442","ECE1","P42892","ECE1","ENSG00000117298"
"443","EDA2R","Q9HAV5",NA,NA
"444","EDAR","Q9UNE0","SSBP3","ENSG00000157216"
"445","EDIL3","O43854","UMPS","ENSG00000114491"
"446","EFEMP1","Q12805","RUNX3","ENSG00000020633"
"447","EFNA1","P20827","EFNA1","ENSG00000169242"
"448","EFNA4","P52798","EFNA4","ENSG00000243364"
"449","EGF","P01133","BANK1","ENSG00000153064"
"450","EGFL7","Q9UHF1","MAN1C1","ENSG00000117643"
"451","EGFR","P00533","GCKR","ENSG00000084734"
"452","EGLN1","Q9GZT9","LINC01221","ENSG00000235492"
"453","EIF4B","P23588","ARHGEF3","ENSG00000163947"
"454","EIF4G1","Q04637","ARHGEF3","ENSG00000163947"
"455","ELOA","Q14241","ELOA-AS1","ENSG00000236810"
"456","ENAH","Q8N8S7","LINC01221","ENSG00000235492"
"457","ENG","P17813","MME","ENSG00000196549"
"458","ENO1","P06733","ENO1","ENSG00000074800"
"459","ENO2","P09104","ARHGEF3","ENSG00000163947"
"460","ENPP2","Q13822","AC147055.3","ENSG00000251074"
"461","ENPP5","Q9UJA9","SNX17","ENSG00000115234"
"462","ENPP7","Q6UWV6","ARID1A","ENSG00000117713"
"463","ENTPD2","Q9Y5L3","ABO","ENSG00000175164"
"464","ENTPD5","O75356","AHSG","ENSG00000145192"
"465","ENTPD6","O75354",NA,NA
"466","EPCAM","P16422","AC007422.2","ENSG00000235495"
"467","EPHA1","P21709",NA,NA
"468","EPHA2","P29317",NA,NA
"469","EPHB4","P54760","NPHS2","ENSG00000116218"
